,story,question,ans,GPT3,COT,SI_reason,SI,Codex_1,GPT3_acc,COT_acc,SI_acc,Codex_1_acc
51,"Daniel took the milk there.
John journeyed to the garden.
Daniel went back to the hallway.
Daniel journeyed to the bathroom.
Daniel dropped the milk.
Daniel took the milk there.
John grabbed the apple there.
Sandra journeyed to the kitchen.
John went to the hallway.
Sandra went back to the garden.
",Where is the apple? ,hallway, hallway," at t=6, John grabbed the apple there. We know that at t=8, John went to the hallway. Therefore, the apple is in the hallway."," at t=6, John grabbed the apple there. We know that at t=8, John went to the hallway."," Therefore, the apple is in the hallway.
",hallway,True,True,True,True
52,"Daniel took the milk there.
John journeyed to the garden.
Daniel went back to the hallway.
Daniel journeyed to the bathroom.
Daniel dropped the milk.
Daniel took the milk there.
John grabbed the apple there.
Sandra journeyed to the kitchen.
John went to the hallway.
Sandra went back to the garden.
Daniel journeyed to the kitchen.
Sandra journeyed to the bedroom.
Daniel went back to the hallway.
Sandra went back to the kitchen.
Sandra went back to the bathroom.
John went to the kitchen.
Sandra got the football there.
Sandra went to the kitchen.
",Where is the football? ,kitchen, kitchen," at t=16, Sandra got the football there."," at t=16, Sandra got the football there. We know that at t=17, Sandra went to the kitchen."," Therefore, the football is in the kitchen.
",kitchen,True,False,True,True
53,"Daniel took the milk there.
John journeyed to the garden.
Daniel went back to the hallway.
Daniel journeyed to the bathroom.
Daniel dropped the milk.
Daniel took the milk there.
John grabbed the apple there.
Sandra journeyed to the kitchen.
John went to the hallway.
Sandra went back to the garden.
Daniel journeyed to the kitchen.
Sandra journeyed to the bedroom.
Daniel went back to the hallway.
Sandra went back to the kitchen.
Sandra went back to the bathroom.
John went to the kitchen.
Sandra got the football there.
Sandra went to the kitchen.
Daniel left the milk.
Sandra put down the football.
",Where is the football? ,kitchen, kitchen, The football is in the kitchen.," at t=16, Sandra got the football there. We know that at t=19, Sandra put down the football."," Therefore, the football is in the room.
",kitchen,True,True,False,True
54,"Daniel took the milk there.
John journeyed to the garden.
Daniel went back to the hallway.
Daniel journeyed to the bathroom.
Daniel dropped the milk.
Daniel took the milk there.
John grabbed the apple there.
Sandra journeyed to the kitchen.
John went to the hallway.
Sandra went back to the garden.
Daniel journeyed to the kitchen.
Sandra journeyed to the bedroom.
Daniel went back to the hallway.
Sandra went back to the kitchen.
Sandra went back to the bathroom.
John went to the kitchen.
Sandra got the football there.
Sandra went to the kitchen.
Daniel left the milk.
Sandra put down the football.
Sandra picked up the football there.
Sandra put down the football.
",Where is the football? ,kitchen, kitchen, The football is in the kitchen.," at t=20, Sandra picked up the football there. We know that at t=21, Sandra put down the football."," Therefore, the football is in the room.
",kitchen,True,True,False,True
55,"John went to the bathroom.
Daniel travelled to the kitchen.
John journeyed to the kitchen.
Daniel journeyed to the hallway.
Sandra travelled to the kitchen.
Mary moved to the office.
Daniel went back to the office.
Sandra went back to the bathroom.
John grabbed the milk there.
John grabbed the apple there.
Sandra journeyed to the office.
Mary went to the hallway.
John went to the bathroom.
John discarded the apple.
",Where is the apple? ,bathroom, bathroom, The apple is in the office.," at t=9, John grabbed the apple there. We know that at t=13, John discarded the apple."," Therefore, the apple is in the trash.

",bathroom,True,False,False,True
56,"John went to the bathroom.
Daniel travelled to the kitchen.
John journeyed to the kitchen.
Daniel journeyed to the hallway.
Sandra travelled to the kitchen.
Mary moved to the office.
Daniel went back to the office.
Sandra went back to the bathroom.
John grabbed the milk there.
John grabbed the apple there.
Sandra journeyed to the office.
Mary went to the hallway.
John went to the bathroom.
John discarded the apple.
John put down the milk.
John picked up the apple there.
",Where is the milk? ,bathroom, bathroom, The milk is in the bathroom., The milk is in the office. John went to the office at t=5 and put down the milk at t=14.,"
",bathroom,True,True,False,True
57,"John went to the bathroom.
Daniel travelled to the kitchen.
John journeyed to the kitchen.
Daniel journeyed to the hallway.
Sandra travelled to the kitchen.
Mary moved to the office.
Daniel went back to the office.
Sandra went back to the bathroom.
John grabbed the milk there.
John grabbed the apple there.
Sandra journeyed to the office.
Mary went to the hallway.
John went to the bathroom.
John discarded the apple.
John put down the milk.
John picked up the apple there.
Daniel went back to the bathroom.
John took the milk there.
Daniel travelled to the garden.
Sandra journeyed to the bathroom.
John travelled to the kitchen.
Mary went back to the office.
",Where is the milk? ,kitchen, kitchen, The milk is in the kitchen.," at t=8, John grabbed the milk there. We know that at t=17, John took the milk there."," Therefore, the milk is in the kitchen.
",kitchen,True,True,True,True
58,"John went to the bathroom.
Daniel travelled to the kitchen.
John journeyed to the kitchen.
Daniel journeyed to the hallway.
Sandra travelled to the kitchen.
Mary moved to the office.
Daniel went back to the office.
Sandra went back to the bathroom.
John grabbed the milk there.
John grabbed the apple there.
Sandra journeyed to the office.
Mary went to the hallway.
John went to the bathroom.
John discarded the apple.
John put down the milk.
John picked up the apple there.
Daniel went back to the bathroom.
John took the milk there.
Daniel travelled to the garden.
Sandra journeyed to the bathroom.
John travelled to the kitchen.
Mary went back to the office.
Mary moved to the hallway.
John left the milk.
",Where is the milk? ,kitchen, hallway, The milk is in the kitchen., The milk is in the kitchen.,"
 
At t=0, Mary got the milk there. We know that at t=3, Mary travelled to the hallway. Therefore, the milk is in the hallway.",kitchen,False,True,False,True
59,"John went to the bathroom.
Daniel travelled to the kitchen.
John journeyed to the kitchen.
Daniel journeyed to the hallway.
Sandra travelled to the kitchen.
Mary moved to the office.
Daniel went back to the office.
Sandra went back to the bathroom.
John grabbed the milk there.
John grabbed the apple there.
Sandra journeyed to the office.
Mary went to the hallway.
John went to the bathroom.
John discarded the apple.
John put down the milk.
John picked up the apple there.
Daniel went back to the bathroom.
John took the milk there.
Daniel travelled to the garden.
Sandra journeyed to the bathroom.
John travelled to the kitchen.
Mary went back to the office.
Mary moved to the hallway.
John left the milk.
John went back to the bedroom.
John left the apple there.
",Where is the apple? ,bedroom, hallway, The apple is in the hallway.," at t=9, John grabbed the apple there. We know that at t=25, John left the apple there."," Therefore, the apple is in the kitchen.
",bathroom,False,False,False,False
60,"Daniel moved to the office.
Daniel travelled to the bedroom.
John took the milk there.
John travelled to the garden.
",Where is the milk? ,garden, garden," at t=2, John took the milk there. We know that at t=3, John travelled to the garden. Therefore, the milk is in the garden."," at t=2, John took the milk there. We know that at t=3, John travelled to the garden."," Therefore, the milk is in the garden.

","garden
garden",True,True,True,True
61,"Daniel moved to the office.
Daniel travelled to the bedroom.
John took the milk there.
John travelled to the garden.
Sandra moved to the office.
Daniel went back to the office.
",Where is the milk? ,garden, garden," at t=2, John took the milk there. We know that at t=3, John travelled to the garden. Therefore, the milk is in the garden."," at t=2, John took the milk there. We know that at t=5, Daniel went back to the office."," Therefore, the milk is in the office.
",garden,True,True,False,True
62,"Daniel moved to the office.
Daniel travelled to the bedroom.
John took the milk there.
John travelled to the garden.
Sandra moved to the office.
Daniel went back to the office.
John went to the kitchen.
Mary travelled to the garden.
John picked up the football there.
John dropped the football.
",Where is the football? ,kitchen, garden, The football is in the garden.," at t=8, John picked up the football there. We know that at t=9, John dropped the football."," Therefore, the football is in the room.
","hallway
garden",False,False,False,False
63,"Daniel moved to the office.
Daniel travelled to the bedroom.
John took the milk there.
John travelled to the garden.
Sandra moved to the office.
Daniel went back to the office.
John went to the kitchen.
Mary travelled to the garden.
John picked up the football there.
John dropped the football.
John put down the milk.
Daniel moved to the kitchen.
",Where is the football? ,kitchen, garden, The football is in the garden.," at t=8, John picked up the football there. We know that at t=9, John dropped the football."," Therefore, the football is in the room.
","hallway
garden",False,False,False,False
64,"Daniel moved to the office.
Daniel travelled to the bedroom.
John took the milk there.
John travelled to the garden.
Sandra moved to the office.
Daniel went back to the office.
John went to the kitchen.
Mary travelled to the garden.
John picked up the football there.
John dropped the football.
John put down the milk.
Daniel moved to the kitchen.
Mary travelled to the bathroom.
Daniel went to the office.
",Where is the football? ,kitchen, garden, The football is in the garden.," at t=8, John picked up the football there. We know that at t=9, John dropped the football."," Therefore, the football is in the room.
","hallway
garden",False,False,False,False
65,"Daniel journeyed to the hallway.
Daniel journeyed to the garden.
Mary went back to the kitchen.
Daniel went back to the office.
Mary journeyed to the bathroom.
John moved to the hallway.
Daniel grabbed the football there.
Daniel went to the kitchen.
",Where is the football? ,kitchen, kitchen," at t=6, Daniel grabbed the football there. We know that at t=7, Daniel went to the kitchen. Therefore, the football is in the kitchen."," at t=6, Daniel grabbed the football there. We know that at t=7, Daniel went to the kitchen."," Therefore, the football is in the kitchen.
",kitchen,True,True,True,True
66,"Daniel journeyed to the hallway.
Daniel journeyed to the garden.
Mary went back to the kitchen.
Daniel went back to the office.
Mary journeyed to the bathroom.
John moved to the hallway.
Daniel grabbed the football there.
Daniel went to the kitchen.
Daniel discarded the football.
John went to the bathroom.
",Where is the football? ,kitchen, kitchen, The football is in the kitchen.," at t=6, Daniel grabbed the football there. We know that at t=8, Daniel discarded the football."," Therefore, the football is in the discard pile.
",kitchen,True,True,False,True
67,"Daniel journeyed to the hallway.
Daniel journeyed to the garden.
Mary went back to the kitchen.
Daniel went back to the office.
Mary journeyed to the bathroom.
John moved to the hallway.
Daniel grabbed the football there.
Daniel went to the kitchen.
Daniel discarded the football.
John went to the bathroom.
Daniel took the football there.
John travelled to the kitchen.
Mary travelled to the office.
John travelled to the hallway.
John went back to the office.
Daniel journeyed to the bedroom.
Daniel got the milk there.
Daniel discarded the milk.
",Where is the milk? ,bedroom, bedroom, The milk is in the bedroom.," at t=16, Daniel got the milk there. We know that at t=17, Daniel discarded the milk."," Therefore, the milk is in the trash.








































",bedroom,True,True,False,True
68,"Daniel journeyed to the hallway.
Daniel journeyed to the garden.
Mary went back to the kitchen.
Daniel went back to the office.
Mary journeyed to the bathroom.
John moved to the hallway.
Daniel grabbed the football there.
Daniel went to the kitchen.
Daniel discarded the football.
John went to the bathroom.
Daniel took the football there.
John travelled to the kitchen.
Mary travelled to the office.
John travelled to the hallway.
John went back to the office.
Daniel journeyed to the bedroom.
Daniel got the milk there.
Daniel discarded the milk.
Sandra went to the bathroom.
Mary went back to the bedroom.
",Where is the milk? ,bedroom, bedroom," At t=16, Daniel got the milk there. We know that at t=17, Daniel discarded the milk. Therefore, the milk is in the discard pile."," at t=16, Daniel got the milk there. We know that at t=17, Daniel discarded the milk."," Therefore, the milk is in the trash.








































",bedroom,True,False,False,True
69,"Daniel journeyed to the hallway.
Daniel journeyed to the garden.
Mary went back to the kitchen.
Daniel went back to the office.
Mary journeyed to the bathroom.
John moved to the hallway.
Daniel grabbed the football there.
Daniel went to the kitchen.
Daniel discarded the football.
John went to the bathroom.
Daniel took the football there.
John travelled to the kitchen.
Mary travelled to the office.
John travelled to the hallway.
John went back to the office.
Daniel journeyed to the bedroom.
Daniel got the milk there.
Daniel discarded the milk.
Sandra went to the bathroom.
Mary went back to the bedroom.
Daniel took the apple there.
Daniel dropped the football.
",Where is the football? ,bedroom, bedroom, The football is in the bedroom.," at t=10, Daniel took the football there. We know that at t=21, Daniel dropped the football."," Therefore, the football is in the room.

",,True,True,False,False
70,"Sandra moved to the garden.
Daniel took the apple there.
Daniel dropped the apple.
Sandra travelled to the office.
John moved to the kitchen.
Sandra moved to the garden.
Daniel went back to the bathroom.
Mary travelled to the hallway.
Sandra went to the bathroom.
John went back to the bedroom.
Mary moved to the garden.
John picked up the apple there.
John went back to the kitchen.
John went back to the garden.
",Where is the apple? ,garden, kitchen, The apple is in the garden.," at t=11, John picked up the apple there. We know that at t=12, John went back to the kitchen."," Therefore, the apple is in the kitchen.
",,False,True,False,False
71,"Sandra moved to the garden.
Daniel took the apple there.
Daniel dropped the apple.
Sandra travelled to the office.
John moved to the kitchen.
Sandra moved to the garden.
Daniel went back to the bathroom.
Mary travelled to the hallway.
Sandra went to the bathroom.
John went back to the bedroom.
Mary moved to the garden.
John picked up the apple there.
John went back to the kitchen.
John went back to the garden.
Mary went to the office.
Daniel went to the bedroom.
",Where is the apple? ,garden, kitchen, The apple is in the garden.," at t=11, John picked up the apple there. We know that at t=13, John went back to the garden."," Therefore, the apple is in the garden.
",garden,False,True,True,True
72,"Sandra moved to the garden.
Daniel took the apple there.
Daniel dropped the apple.
Sandra travelled to the office.
John moved to the kitchen.
Sandra moved to the garden.
Daniel went back to the bathroom.
Mary travelled to the hallway.
Sandra went to the bathroom.
John went back to the bedroom.
Mary moved to the garden.
John picked up the apple there.
John went back to the kitchen.
John went back to the garden.
Mary went to the office.
Daniel went to the bedroom.
John went to the bathroom.
John dropped the apple.
",Where is the apple? ,bathroom, bathroom, The apple is in the garden.," at t=11, John picked up the apple there. We know that at t=17, John dropped the apple."," Therefore, the apple is in the room.
",bathroom,True,False,False,True
